Tier,Type,Repository,URL,Description,Stars,Forks,Language,License,Updated,Active,Interface,ReferenceValue
Must Study,RAG / 向量记忆,zilliztech/memsearch,https://github.com/zilliztech/memsearch,"A persistent, unified memory layer for all your AI agents (e.g. Claude Code, Codex), backed by Markdown and Milvus.",2024,184,Python,MIT,2026-06-12,Yes,SDK/API / MCP/IDE,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,长期记忆框架 / Memory layer,langchain-ai/langmem,https://github.com/langchain-ai/langmem,,1502,170,Python,MIT,2026-06-12,Yes,Framework,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Must Study,用户画像 / 个性化记忆,BAI-LAB/MemoryOS,https://github.com/BAI-LAB/MemoryOS,[EMNLP 2025 Oral] MemoryOS is designed to provide a memory operating system for personalized AI agents.,1462,142,Python,Apache-2.0,2026-04-28,Yes,Unclear,直接参考：memory 抽取、存储、检索、更新或用户控制设计。
Worth Skimming,图谱记忆 / Graph memory,langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform.,139318,23092,Python,MIT,2026-06-15,Yes,SDK/API / Framework,生态参考：看框架如何暴露 memory/session/context 能力。
Worth Skimming,Agent 框架内置 memory,microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI,58956,8896,Python,CC-BY-4.0,2026-04-15,Yes,Framework,生态参考：看框架如何暴露 memory/session/context 能力。
Worth Skimming,Agent 框架内置 memory,crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",53571,7501,Python,MIT,2026-06-14,Yes,Framework,生态参考：看框架如何暴露 memory/session/context 能力。
Worth Skimming,Agent 框架内置 memory,run-llama/llama_index,https://github.com/run-llama/llama_index,LlamaIndex is the leading document agent and OCR platform,50132,7563,Python,MIT,2026-06-12,Yes,SDK/API / Framework / App/demo,生态参考：看框架如何暴露 memory/session/context 能力。
Worth Skimming,Agent 框架内置 memory,openai/openai-agents-python,https://github.com/openai/openai-agents-python,"A lightweight, powerful framework for multi-agent workflows",27153,4189,Python,MIT,2026-06-13,Yes,Framework,生态参考：看框架如何暴露 memory/session/context 能力。
Worth Skimming,Agent 框架内置 memory,elizaOS/eliza,https://github.com/elizaOS/eliza,Open source agentic operating system,18582,5556,TypeScript,MIT,2026-06-14,Yes,Framework,生态参考：看框架如何暴露 memory/session/context 能力。
Worth Skimming,图谱记忆 / Graph memory,getzep/zep,https://github.com/getzep/zep,"Zep | Examples, Integrations, & More",4669,634,Python,Apache-2.0,2026-04-09,Yes,Unclear,生态参考：看框架如何暴露 memory/session/context 能力。
Worth Skimming,图谱记忆 / Graph memory,kingjulio8238/Memary,https://github.com/kingjulio8238/Memary,The Open Source Memory Layer For Autonomous Agents,2623,199,Jupyter Notebook,MIT,2024-10-22,Maybe/No,SDK/API,生态参考：看框架如何暴露 memory/session/context 能力。
Low Priority,长期记忆框架 / Memory layer,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",184945,46140,Python,NOASSERTION,2026-06-15,Yes,SDK/API / MCP/IDE / App/demo,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",82326,7110,JavaScript,Apache-2.0,2026-06-15,Yes,SDK/API / MCP/IDE,候选参考：后续按具体需求再深看。
Low Priority,长期记忆框架 / Memory layer,lobehub/lobehub,https://github.com/lobehub/lobehub,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.",78669,15426,TypeScript,NOASSERTION,2026-06-15,Yes,MCP/IDE,候选参考：后续按具体需求再深看。
Low Priority,Agent 框架内置 memory,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent meta-harness for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",59508,6885,TypeScript,MIT,2026-06-15,Yes,SDK/API / MCP/IDE / Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,长期记忆框架 / Memory layer,MemPalace/mempalace,https://github.com/MemPalace/mempalace,The best-benchmarked open-source AI memory system. And it's free.,55628,7209,Python,MIT,2026-06-14,Yes,MCP/IDE,候选参考：后续按具体需求再深看。
Low Priority,长期记忆框架 / Memory layer,zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,"Open-source super AI assistant & Agent Harness. Plans tasks, runs tools and skills, self-evolves with memory and knowledge. Multi-model, multi-channel. Lightweight, extensible, one-line install. (formerly chatgpt-on-wechat)",45308,10199,Python,MIT,2026-06-15,Yes,MCP/IDE / App/demo,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",35811,5939,Jupyter Notebook,MIT,2026-06-08,Yes,MCP/IDE / App/demo,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,Build resilient agents.,34769,5828,Python,MIT,2026-06-14,Yes,Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,microsoft/graphrag,https://github.com/microsoft/graphrag,A modular graph-based Retrieval-Augmented Generation (RAG) system,33740,3578,Python,MIT,2026-06-12,Yes,Unclear,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,NirDiamant/RAG_Techniques,https://github.com/NirDiamant/RAG_Techniques,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. Each technique has a detailed notebook tutorial.,27948,3381,Jupyter Notebook,NOASSERTION,2026-06-11,Yes,Framework,资料入口：适合继续追论文、教程或项目列表。
Low Priority,RAG / 向量记忆,volcengine/OpenViking,https://github.com/volcengine/OpenViking,"OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving.",25645,1979,Python,AGPL-3.0,2026-06-15,Yes,Unclear,候选参考：后续按具体需求再深看。
Low Priority,Agent 框架内置 memory,mastra-ai/mastra,https://github.com/mastra-ai/mastra,"From the team behind Gatsby, Mastra is a framework for building AI-powered applications and agents with a modern TypeScript stack.",25076,2234,TypeScript,NOASSERTION,2026-06-15,Yes,MCP/IDE / Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,长期记忆框架 / Memory layer,rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,#1 Persistent memory for AI coding agents based on real-world benchmarks,22840,1880,TypeScript,Apache-2.0,2026-06-15,Yes,MCP/IDE,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,NirDiamant/GenAI_Agents,https://github.com/NirDiamant/GenAI_Agents,"50+ tutorials and implementations for Generative AI Agent techniques, from basic conversational bots to complex multi-agent systems.",22589,3791,Jupyter Notebook,NOASSERTION,2026-06-11,Yes,MCP/IDE / Framework,候选参考：后续按具体需求再深看。
Low Priority,长期记忆框架 / Memory layer,yoheinakajima/babyagi,https://github.com/yoheinakajima/babyagi,,22308,2858,Python,,2026-01-31,Yes,Unclear,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,NirDiamant/agents-towards-production,https://github.com/NirDiamant/agents-towards-production,"End-to-end, code-first tutorials for building production-grade GenAI agents. From prototype to enterprise deployment.",20731,2754,Jupyter Notebook,NOASSERTION,2026-06-11,Yes,MCP/IDE / Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,Agent 框架内置 memory,TransformerOptimus/SuperAGI,https://github.com/TransformerOptimus/SuperAGI,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.",17569,2224,Python,MIT,2025-01-22,Yes,Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,vectorize-io/hindsight,https://github.com/vectorize-io/hindsight,Hindsight: Agent Memory That  Learns,16403,938,Python,MIT,2026-06-14,Yes,Unclear,候选参考：后续按具体需求再深看。
Low Priority,用户画像 / 个性化记忆,StarTrail-org/LEANN,https://github.com/StarTrail-org/LEANN,"[MLsys2026]: RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",11924,1061,Python,MIT,2026-06-15,Yes,Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,alibaba/zvec,https://github.com/alibaba/zvec,"A lightweight, lightning-fast, in-process vector database",10054,581,C++,Apache-2.0,2026-06-12,Yes,Unclear,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,WangRongsheng/awesome-LLM-resources,https://github.com/WangRongsheng/awesome-LLM-resources,🧑‍🚀 全世界最好的LLM资料总结（多模态生成、Agent、辅助编程、AI审稿、数据处理、模型训练、模型推理、o1 模型、MCP、小语言模型、视觉语言模型） | Summary of the world's best LLM resources. ,8533,893,,Apache-2.0,2026-06-10,Yes,MCP/IDE / App/demo,资料入口：适合继续追论文、教程或项目列表。
Low Priority,Agent 框架内置 memory,MervinPraison/PraisonAI,https://github.com/MervinPraison/PraisonAI,"PraisonAI 🦞 — Hire a 24/7 AI Workforce. Stop writing boilerplate and start shipping autonomous self-improving agents that research, plan, code, and execute tasks. Deployed in 5 lines of code with built-in memory, RAG, and support for 100+ LLMs.",8136,1253,Python,MIT,2026-06-14,Yes,SDK/API / Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,Agent 框架内置 memory,julep-ai/julep,https://github.com/julep-ai/julep,Firebase for AI agents,6610,976,Jupyter Notebook,,2026-03-13,Yes,SDK/API / Framework,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,adongwanai/AgentGuide,https://github.com/adongwanai/AgentGuide,https://adongwanai.github.io/AgentGuide | AI Agent开发指南 | LangGraph实战 | 高级RAG | 转行大模型 | 大模型面试 | 算法工程师 | 面试题库 | 强化学习｜数据合成,5920,590,HTML,,2026-06-09,Yes,Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,TencentCloud/TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,"TencentDB Agent Memory delivers fully local long-term memory for AI Agents via a 4-tier progressive pipeline, with zero external API dependencies.",5733,493,TypeScript,NOASSERTION,2026-06-15,Yes,SDK/API,候选参考：后续按具体需求再深看。
Low Priority,Agent 框架内置 memory,OpenBMB/AgentVerse,https://github.com/OpenBMB/AgentVerse,"🤖 AgentVerse 🪐 is designed to facilitate the deployment of multiple LLM-based agents in various applications, which primarily provides two frameworks: task-solving and simulation",5059,513,JavaScript,Apache-2.0,2024-09-09,Maybe/No,Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,Agent 框架内置 memory,Doriandarko/maestro,https://github.com/Doriandarko/maestro,A framework for Claude Opus to intelligently orchestrate subagents.,4344,653,Python,,2024-07-01,Maybe/No,MCP/IDE / Framework,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,ruvnet/RuVector,https://github.com/ruvnet/RuVector,"RuVector is a High Performance, Real-Time, Self-Learning Ai, Vector GNN, Memory DB built in Rust.",4247,567,Rust,MIT,2026-06-15,Yes,App/demo,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,memgraph/memgraph,https://github.com/memgraph/memgraph,"High-performance open-source in-memory graph database for GraphRAG, AI memory, agentic AI, and real-time graph analytics. Cypher-compatible, built in C++.",4157,236,C++,NOASSERTION,2026-06-15,Yes,App/demo,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,FareedKhan-dev/all-agentic-architectures,https://github.com/FareedKhan-dev/all-agentic-architectures,"35 production-grade agentic AI architectures (Reflexion, LATS, GraphRAG, MemGPT, Voyager, BrowserAgent, ...) — a Python library and runnable textbook with multi-provider LLM support and a 17-task benchmark leaderboard.",3626,639,Jupyter Notebook,MIT,2026-06-08,Yes,Framework,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,GiovanniPasq/agentic-rag-for-dummies,https://github.com/GiovanniPasq/agentic-rag-for-dummies,A modular Agentic RAG built with LangGraph — learn Retrieval-Augmented Generation Agents in minutes.,3488,461,Jupyter Notebook,MIT,2026-06-10,Yes,Framework / App/demo,候选参考：后续按具体需求再深看。
Low Priority,RAG / 向量记忆,filipecalegario/awesome-generative-ai,https://github.com/filipecalegario/awesome-generative-ai,"A curated list of Generative AI tools, works, models, and references",3477,794,,CC0-1.0,2025-12-18,Yes,Unclear,资料入口：适合继续追论文、教程或项目列表。
Low Priority,Agent 框架内置 memory,Meirtz/Awesome-Context-Engineering,https://github.com/Meirtz/Awesome-Context-Engineering," 🔥 Comprehensive survey on Context Engineering: from prompt engineering to production-grade AI systems. hundreds of papers, frameworks, and  implementation guides for LLMs and AI agents.",3181,246,,MIT,2026-05-28,Yes,Framework / App/demo,资料入口：适合继续追论文、教程或项目列表。
Low Priority,图谱记忆 / Graph memory,MemMachine/MemMachine,https://github.com/MemMachine/MemMachine,"Universal memory layer for AI Agents. It provides scalable, extensible, and interoperable memory storage and retrieval to streamline AI agent state management for next-generation autonomous systems.",3113,180,Python,Apache-2.0,2026-06-14,Yes,SDK/API,候选参考：后续按具体需求再深看。
Low Priority,Agent 框架内置 memory,MARKTECHPOST-AI-MEDIA-INC/AI-Agents-Projects-Tutorials,https://github.com/MARKTECHPOST-AI-MEDIA-INC/AI-Agents-Projects-Tutorials,"Multi-agent systems, memory, planning, reasoning loops",2703,593,Jupyter Notebook,,2026-06-15,Yes,Framework,候选参考：后续按具体需求再深看。
Low Priority,用户画像 / 个性化记忆,Bitterbot-AI/bitterbot-desktop,https://github.com/Bitterbot-AI/bitterbot-desktop,"A local-first AI agent with persistent memory, emotional intelligence, and a peer-to-peer skills economy.",2379,413,TypeScript,NOASSERTION,2026-06-14,Yes,App/demo,候选参考：后续按具体需求再深看。
Low Priority,长期记忆框架 / Memory layer,kayba-ai/agentic-context-engine,https://github.com/kayba-ai/agentic-context-engine,🧠 Make your agents learn from experience. Now available as a hosted solution at kayba.ai ,2354,292,Python,Apache-2.0,2026-06-13,Yes,Unclear,候选参考：后续按具体需求再深看。
Low Priority,长期记忆框架 / Memory layer,rohitg00/pro-workflow,https://github.com/rohitg00/pro-workflow,"Claude Code learns from your corrections: self-correcting memory that compounds over 50+ sessions. Context engineering, parallel worktrees, agent teams, and 17 battle-tested skills.",2301,225,JavaScript,,2026-06-08,Yes,MCP/IDE,候选参考：后续按具体需求再深看。
Low Priority,图谱记忆 / Graph memory,trustgraph-ai/trustgraph,https://github.com/trustgraph-ai/trustgraph,The semantic deployment platform.,2170,249,Python,Apache-2.0,2026-06-12,Yes,SDK/API,候选参考：后续按具体需求再深看。
